id_venta,fecha,id_cliente,id_producto,cantidad,precio_unitario,total_venta,fuente,canal,tienda,nombre,apellido,segmento,ciudad,nombre_producto,categoria
1,2026-04-01,101,2001,2,150000.0,300000.0,POS,tienda_fisica,Santiago,Juan,Perez,Premium,Santiago,Notebook Lenovo,Tecnologia
2,2026-04-01,102,2002,1,300000.0,300000.0,POS,tienda_fisica,Providencia,Ana,Gomez,Regular,Valparaiso,Smartphone Samsung,Tecnologia
5001,2026-04-01,101,,1,300000.0,300000.0,online,web,,Juan,Perez,Premium,Santiago,,
3,2026-04-02,103,2003,1,50000.0,50000.0,POS,tienda_fisica,Maipu,Carlos,Rojas,Premium,Concepcion,Polera Hombre,Vestuario
4,2026-04-02,101,2001,1,150000.0,150000.0,POS,tienda_fisica,Las Condes,Juan,Perez,Premium,Santiago,Notebook Lenovo,Tecnologia
5002,2026-04-02,103,,1,50000.0,50000.0,online,web,,Carlos,Rojas,Premium,Concepcion,,
5,2026-04-03,104,2004,3,20000.0,60000.0,POS,tienda_fisica,La Florida,Maria,Lopez,Nuevo,Santiago,Silla Oficina,Hogar
6,2026-04-03,105,2002,2,300000.0,600000.0,POS,tienda_fisica,Puente Alto,Pedro,Diaz,Regular,Temuco,Smartphone Samsung,Tecnologia
5003,2026-04-03,104,,1,60000.0,60000.0,online,app,,Maria,Lopez,Nuevo,Santiago,,
5004,2026-04-03,105,,1,300000.0,300000.0,online,web,,Pedro,Diaz,Regular,Temuco,,
7,2026-04-04,106,2005,1,80000.0,80000.0,POS,tienda_fisica,Ñuñoa,Laura,Martinez,Premium,Santiago,Audifonos Sony,Tecnologia
8,2026-04-04,107,2003,2,50000.0,100000.0,POS,tienda_fisica,Santiago,Diego,Soto,Nuevo,Antofagasta,Polera Hombre,Vestuario
5005,2026-04-04,106,,1,80000.0,80000.0,online,app,,Laura,Martinez,Premium,Santiago,,
5006,2026-04-04,107,,1,100000.0,100000.0,online,web,,Diego,Soto,Nuevo,Antofagasta,,
5008,2026-04-05,109,,1,150000.0,150000.0,online,web,,Andres,Castro,Premium,La Serena,,
5007,2026-04-05,108,,1,120000.0,120000.0,online,app,,Sofia,Reyes,Regular,Santiago,,
10,2026-04-05,109,2001,1,150000.0,150000.0,POS,tienda_fisica,Maipu,Andres,Castro,Premium,La Serena,Notebook Lenovo,Tecnologia
9,2026-04-05,108,2006,1,120000.0,120000.0,POS,tienda_fisica,Providencia,Sofia,Reyes,Regular,Santiago,Tablet Huawei,Tecnologia
5009,2026-04-05,110,,1,25000.0,25000.0,online,app,,Camila,Vega,Nuevo,Santiago,,
5010,2026-04-05,101,,1,150000.0,150000.0,online,web,,Juan,Perez,Premium,Santiago,,
